dataset_name,resource_name,url,header_row
city-council-districts,City Council districts attribute table,https://seshat.datasd.org/gis_city_council_districts/council_districts_datasd.csv,"""objectid"",""district"""
city-owned-properties-details,City Owned Properties - Details,https://seshat.datasd.org/city_owned_properties/city_property_details_datasd.csv,"""site_code"",""file_code"",""grantor"",""month_acquired"",""year_acquired"",""purchase_fund"",""land_cost"",""building_cost"",""closing_cost"",""site_name"",""managing_group"",""managing_dept"",""designated_use"",""site_acres"",""file_acres"",""original_acres"",""dedicated_park"",""water_use"",""use_restrictions"",""desig_reso_ord"",""date_reso_ord"""
city-owned-properties-leases,City Owned Properties - Leases,https://seshat.datasd.org/city_owned_properties_leases/city_property_leases_datasd.csv,"""site_code"",""lessee_name"",""lessee_company"",""lessee_DBA"",""address_zip"",""lease_record_type"",""lease_description"",""lease_status"",""lease_location_name"",""nonprofit_lessee"",""date_effective"",""date_sched_termination"",""rent_code"",""cost_line_amt_USD"""
city-owned-properties-parcels,City Owned Properties - Parcels,https://seshat.datasd.org/city_owned_properties_parcels/city_property_parcels_datasd.csv,"""site_code"",""APN-8"""
code-enforcement-violations,Code Enforcement Cases 2015 through 2018,https://seshat.datasd.org/code_enforcement_violations/code_enf_past_3_yr_datasd.csv,"case_id,apn,address_street,case_source,description,date_open,date_closed,close_reason,close_note,lat,lng,nad83_northing,nad83_easting,workgroup,investigator_name,investigator_phone_number,investigator_email_address,investigator_active,last_action,date_last_action_due,remedy_msg"
code-enforcement-violations,Complaint Type Codes,https://seshat.datasd.org/code_enforcement_violations/complaint_types_datasd.csv,"Complaint Type ID,Complaint Type"
code-enforcement-violations,Code Enforcement Remedies,https://seshat.datasd.org/code_enforcement_violations/code_enf_remedies_datasd.csv,"RemedySequence,REMEDY_TYPE_ID,Remedy,ActionSequence,Action_Type_ID,Action"
community-block-grants,Census tracts eligible for CDBG attribute table,https://seshat.datasd.org/gis_cdbg_census_tracts/block_grants_datasd.csv,"""objectid"",""statefp"",""countyfp"",""tractce"",""blkgrpce"",""geoid"",""geoname"",""low"",""lowmod"",""lmmi"",""lowmoduniv"",""lowmod_pct"",""low_pct"",""lmmi_pct"",""total_pop"",""tot_units"",""occ_units"",""vac_units"""
community-planning-district-boundaries,Community planning districts attribute table,https://seshat.datasd.org/gis_community_planning_districts/cmty_plan_datasd.csv,"""objectid"",""cpcode"",""cpname"",""acreage"""
crb-cases,Cases FY25,https://seshat.datasd.org/cpp_complaints_evaluated/2025_crb_cases_datasd.csv,"id,case_number,date_assigned,date_completed,date_presented,days_number,days_30_or_less,days_60_or_less,90_days_or_less,120_days_or_less,changes,incident_address,pd_division,pretext_stop,vehicle_persuit,beat,council_district"
crb-cases,Allegations FY25,https://seshat.datasd.org/cpp_complaints_allegations/2025_crb_allegations_datasd.csv,"""id"",""case_number"",""allegation"",""ia_finding"",""crb_decision"",""vote"",""unanimous_vote"",""pid"""
crb-cases,Body worn camera details FY25,https://seshat.datasd.org/cpp_complaints_body_worn_camera/2025_crb_cases_bwc_datasd.csv,"id,case_number,bwc_on,pid,ia_investigate_bwc_non-compliance"
crb-cases,Complainants FY25,https://seshat.datasd.org/cpp_complaints_complainants/2025_crb_complainants_datasd.csv,"id,case_number,allegation,complainant_race,complainant_gender,complainant_id"
crb-cases,Cases FY20-FY24,https://seshat.datasd.org/cpp_complaints_evaluated/2024_crb_cases_datasd.csv,"""id"",""case_number"",""team"",""date_assigned"",""date_completed"",""date_presented"",""days_number"",""days_30_or_less"",""days_60_or_less"",""90_days_or_less"",""120_days_or_less"",""changes"",""incident_address"",""pd_division"",""crb_viewed_bwc"""
crb-cases,Allegations FY20-FY24,https://seshat.datasd.org/cpp_complaints_allegations/2024_crb_allegations_datasd.csv,"""id"",""case_number"",""allegation"",""ia_finding"",""crb_decision"",""vote"",""unanimous_vote"",""pid"""
crb-cases,Body worn camera details FY20-FY24,https://seshat.datasd.org/cpp_complaints_body_worn_camera/2024_crb_cases_bwc_datasd.csv,"""id"",""case_number"",""bwc_on"",""pid"""
crb-cases,Complainants FY20-FY24,https://seshat.datasd.org/cpp_complaints_complainants/2024_crb_complainants_datasd.csv,"""id"",""case_number"",""allegation"",""complainant_race"",""complainant_gender"",""complainant_id"""
development-permits-set1,Active approvals,https://seshat.datasd.org/development_permits_set1/permits_set1_active_datasd.csv,"""DEVELOPMENT_ID"",""PROJECT_ID"",""PROJECT_TYPE"",""PROJECT_STATUS"",""PROJECT_PROCESSING_CODE"",""DATE_PROJECT_CREATE"",""DATE_PROJECT_COMPLETE"",""PROJECT_SAP_INTERNAL_ORDER"",""PROJECT_TITLE"",""PROJECT_SCOPE"",""JOB_ID"",""JOB_DRAWING_NUMBER"",""ADDRESS_JOB"",""JOB_APN"",""JOB_BC_CODE"",""JOB_BC_CODE_DESCRIPTION"",""LAT_JOB"",""LNG_JOB"",""APPROVAL_ID"",""APPROVAL_CATEGORY_CODE"",""APPROVAL_TYPE"",""APPROVAL_STATUS"",""APPROVAL_SCOPE"",""DATE_APPROVAL_CREATE"",""DATE_APPROVAL_ISSUE"",""DATE_APPROVAL_EXPIRE"",""DATE_APPROVAL_CLOSE"",""APPROVAL_VALUATION"",""APPROVAL_DU_NET_CHANGE"",""APPROVAL_STORIES"",""APPROVAL_FLOOR_AREA"",""APPROVAL_DU_EXTREMELY_LOW"",""APPROVAL_DU_VERY_LOW"",""APPROVAL_DU_LOW"",""APPROVAL_DU_MODERATE"",""APPROVAL_DU_ABOVE_MODERATE"",""APPROVAL_DU_FUTURE_DEMO"",""APPROVAL_DU_BONUS"",""APPROVAL_PERMIT_HOLDER"""
development-permits-set1,"Closed approvals, since 2003",https://seshat.datasd.org/development_permits_set1/permits_set1_closed_datasd.csv,"""DEVELOPMENT_ID"",""PROJECT_ID"",""PROJECT_TYPE"",""PROJECT_STATUS"",""PROJECT_PROCESSING_CODE"",""DATE_PROJECT_CREATE"",""DATE_PROJECT_COMPLETE"",""PROJECT_SAP_INTERNAL_ORDER"",""PROJECT_TITLE"",""PROJECT_SCOPE"",""JOB_ID"",""JOB_DRAWING_NUMBER"",""ADDRESS_JOB"",""JOB_APN"",""JOB_BC_CODE"",""JOB_BC_CODE_DESCRIPTION"",""LAT_JOB"",""LNG_JOB"",""APPROVAL_ID"",""APPROVAL_CATEGORY_CODE"",""APPROVAL_TYPE"",""APPROVAL_STATUS"",""APPROVAL_SCOPE"",""DATE_APPROVAL_CREATE"",""DATE_APPROVAL_ISSUE"",""DATE_APPROVAL_EXPIRE"",""DATE_APPROVAL_CLOSE"",""APPROVAL_VALUATION"",""APPROVAL_DU_NET_CHANGE"",""APPROVAL_STORIES"",""APPROVAL_FLOOR_AREA"",""APPROVAL_DU_EXTREMELY_LOW"",""APPROVAL_DU_VERY_LOW"",""APPROVAL_DU_LOW"",""APPROVAL_DU_MODERATE"",""APPROVAL_DU_ABOVE_MODERATE"",""APPROVAL_DU_FUTURE_DEMO"",""APPROVAL_DU_BONUS"",""APPROVAL_PERMIT_HOLDER"""
development-permits-set2,Active approvals,https://seshat.datasd.org/development_permits_set2/permits_set2_active_datasd.csv,"""PROJECT_ID"",""JOB_ID"",""APPROVAL_ID"",""PROJECT_TITLE"",""PROJECT_SCOPE"",""APPROVAL_SCOPE"",""APPROVAL_TYPE"",""PROJECT_PROCESSING_CODE"",""APPROVAL_PROCESSING_CODE"",""APPROVAL_STATUS"",""JOB_BC_CODE"",""JOB_BC_CODE_DESCRIPTION"",""APPROVAL_PERMIT_HOLDER"",""ADDRESS_JOB"",""JOB_APN"",""LAT_JOB"",""LNG_JOB"",""DATE_PROJECT_CREATE"",""DATE_PROJECT_COMPLETE"",""DATE_APPROVAL_CREATE"",""DATE_APPROVAL_ISSUE"",""DATE_APPROVAL_CLOSE"",""DATE_APPROVAL_EXPIRE"",""APPROVAL_VALUATION"",""APPROVAL_STORIES"",""APPROVAL_FLOOR_AREA"",""APPROVAL_DU_EXTREMELY_LOW"",""APPROVAL_DU_VERY_LOW"",""APPROVAL_DU_LOW"",""APPROVAL_DU_MODERATE"",""APPROVAL_DU_ABOVE_MODERATE"",""APPROVAL_DU_BONUS"",""APPROVAL_DU_FUTURE_DEMO"",""APPROVAL_ADU_EXTREMELY_LOW"",""APPROVAL_ADU_VERY_LOW"",""APPROVAL_ADU_LOW"",""APPROVAL_ADU_MODERATE"",""APPROVAL_ADU_ABOVE_MODERATE"",""APPROVAL_ADU_BONUS"",""APPROVAL_ADU_TOTAL"",""APPROVAL_JADU_EXTREMELY_LOW"",""APPROVAL_JADU_VERY_LOW"",""APPROVAL_JADU_LOW"",""APPROVAL_JADU_MODERATE"",""APPROVAL_JADU_ABOVE_MODERATE"",""APPROVAL_JADU_BONUS"",""APPROVAL_JADU_TOTAL"""
development-permits-set2,Closed approvals,https://seshat.datasd.org/development_permits_set2/permits_set2_closed_datasd.csv,"""PROJECT_ID"",""JOB_ID"",""APPROVAL_ID"",""PROJECT_TITLE"",""PROJECT_SCOPE"",""APPROVAL_SCOPE"",""APPROVAL_TYPE"",""PROJECT_PROCESSING_CODE"",""APPROVAL_PROCESSING_CODE"",""APPROVAL_STATUS"",""JOB_BC_CODE"",""JOB_BC_CODE_DESCRIPTION"",""APPROVAL_PERMIT_HOLDER"",""ADDRESS_JOB"",""JOB_APN"",""LAT_JOB"",""LNG_JOB"",""DATE_PROJECT_CREATE"",""DATE_PROJECT_COMPLETE"",""DATE_APPROVAL_CREATE"",""DATE_APPROVAL_ISSUE"",""DATE_APPROVAL_CLOSE"",""DATE_APPROVAL_EXPIRE"",""APPROVAL_VALUATION"",""APPROVAL_STORIES"",""APPROVAL_FLOOR_AREA"",""APPROVAL_DU_EXTREMELY_LOW"",""APPROVAL_DU_VERY_LOW"",""APPROVAL_DU_LOW"",""APPROVAL_DU_MODERATE"",""APPROVAL_DU_ABOVE_MODERATE"",""APPROVAL_DU_BONUS"",""APPROVAL_DU_FUTURE_DEMO"",""APPROVAL_ADU_EXTREMELY_LOW"",""APPROVAL_ADU_VERY_LOW"",""APPROVAL_ADU_LOW"",""APPROVAL_ADU_MODERATE"",""APPROVAL_ADU_ABOVE_MODERATE"",""APPROVAL_ADU_BONUS"",""APPROVAL_ADU_TOTAL"",""APPROVAL_JADU_EXTREMELY_LOW"",""APPROVAL_JADU_VERY_LOW"",""APPROVAL_JADU_LOW"",""APPROVAL_JADU_MODERATE"",""APPROVAL_JADU_ABOVE_MODERATE"",""APPROVAL_JADU_BONUS"",""APPROVAL_JADU_TOTAL"""
development-permits-tags,Project tags,https://seshat.datasd.org/development_permits_tags/permits_project_tags_datasd.csv,"""project_id"",""project_tag"""
drinking-water-sample-sites,Sample Sites,https://seshat.datasd.org/drinking_water_sample_sites/sample_sites_datasd.csv,"site_ID,pressure_zone_name,pressure_zone_elevation,connections_count,location_description,lat,lng,frequency_sampled"
enterprise-system-information,SB 272 Catalog,https://seshat.datasd.org/enterprise_system_information/it_sb272_datasd.csv,"﻿vendor,application_name,business_function,data_category,department,frequency_collected,frequency_updated"
facilities-assessment,FCI ratings,https://seshat.datasd.org/fci_city_buildings/facilities_assessment_datasd.csv,"campus_guid,campus_name,building_name,building_number,location_description,address_zip,community_area,council_district,lat,lng,year_forecast,condition,fci,capital_req,maintenance_req,total_req,age,year_built,asset_type,asset_group,service_level,building_category,department_name,building_function,gross_sq_ft,year_fy_inspection,year_fy_last_renovation,solar_survey,solar_energy_feasible,accessibility_survey,desc_full,desc_site,desc_substructure,desc_shell,desc_interior_construction,desc_interior_finishes,desc_plumbing,desc_mechanical,desc_life_safety,desc_electrical,desc_accessibility,desc_solar_energy"
financial-support-candidates-and-ballot-measures-election,Financial Transactions Reported by Election Committees 2021,https://seshat.datasd.org/election_committees_transactions/financial_support_2021_datasd.csv,"""form"",""schedule"",""schedule_description"",""recipient_id"",""recipient_name"",""date_report_period_from"",""date_report_period_to"",""contributor_code"",""contributor_last"",""contributor_first"",""address_city_contributor"",""address_state_contributor"",""address_zip_contributor"",""contributor_emp"",""contributor_occ"",""date_contribution"",""contribution_amount"",""contribution_annual"",""contribution_desc"",""contributor_id"",""intermediary_last"",""intermediary_first"",""address_city_intermediary"",""address_state_intermediary"",""address_zip_intermediary"",""intermediary_emp"",""intermediary_occ"",""filing_id"",""year_report"""
